Transaction Name,Date,Unit,Income,Expenses,Total
Carlos PAYMENT JOSE,25-Dec,,,2000,"  (2,963.00)"
garbage,25-Dec,,,100,"  (3,063.00)"
MAINTENENCE JAN,,gh1,990,,"  (2,073.00)"
MAINTENENCE JAN,,101,1740,,  (333.00)
MAINTENENCE JAN,12-Dec,102,1800,,"  1,467.00 "
MAINTENENCE JAN,Jan-21,201,2000,,"  3,467.00 "
MAINTENENCE JAN,26-Jan,202,1800,,"  5,267.00 "
MAINTENENCE JAN,20-Jun,301,1000,,"  6,267.00 "
MAINTENENCE JAN,,302,2100,,"  8,367.00 "
Carlos PAYMENT EDGAR,1-Jan,,,1800,"  6,567.00 "
garbage,1-Jan,,,100,"  6,467.00 "
Carlos PAYMENT EDGAR,7-Jan,,,1800,"  4,667.00 "
garbage,7-Jan,,,100,"  4,567.00 "
Carlos ,15-Jan,,,2000,"  2,567.00 "
garbage,15-Jan,,,100,"  2,467.00 "
Carlos ,22-Jan,,,2000,  467.00 
garbage,22-Jan,,,100,  367.00 
Carlos ,29-Jan,,,2000,"  (1,633.00)"
garbage,29-Jan,,,100,"  (1,733.00)"
water sixth two-month,,,,3864,"  (5,597.00)"
MAINTENENCE FEB,,gh1,990,,"  (4,607.00)"
MAINTENENCE FEB,,101,1740,,"  (2,867.00)"
MAINTENENCE FEB,,102,1800,,"  (1,067.00)"
MAINTENENCE FEB,23-Mar,201,2000,,  933.00 
MAINTENENCE FEB,28-Feb,202,1800,,"  2,733.00 "
MAINTENENCE FEB,20-Jun,301,2000,,"  4,733.00 "
MAINTENENCE FEB,,302,2100,,"  6,833.00 "
cleaner,,,,350,"  6,483.00 "
lightbulbs,,,,100,"  6,383.00 "
Carlos ,5-Feb,,,2350,"  4,033.00 "
garbage,5-Feb,,,100,"  3,933.00 "
Carlos ,12-Feb,,,2000,"  1,933.00 "
garbage,12-Feb,,,100,"  1,833.00 "
Carlos ,19-Feb,,,2000,  (167.00)
garbage,19-Feb,,,100,  (267.00)
Carlos ,26-Feb,,,2000,"  (2,267.00)"
garbage,26-Feb,,,100,"  (2,367.00)"
cfe,26-Feb,,,132,"  (2,499.00)"
MAINTENENCE MARCH,,gh1,990,,"  (1,509.00)"
MAINTENENCE MARCH,4-Mar,101,1740,,  231.00 
MAINTENENCE MARCH,,102,1800,,"  2,031.00 "
MAINTENENCE MARCH,30,201,2000,,"  4,031.00 "
MAINTENENCE MARCH,2-Apr,202,1800,,"  5,831.00 "
